ID,vota_rd,total,share_rd
102,0,480,0
130,0,432,0
274,0,1238,0
189,0,214,0
327,0,184,0
10,0,0,0
18,0,681,0
131,0,297,0
181,0,6984,0
227,0,1825,0
229,0,257,0
240,0,45572,0
276,0,220,0
289,0,237,0
321,0,164,0
326,0,523,0
