ID;Sigla;Comuna;Votacion
10;PRI;ANTARTICA;0
10;PRO;ANTARTICA;0
10;PRSD;ANTARTICA;0
10;PS;ANTARTICA;1
10;RD;ANTARTICA;0
10;RN;ANTARTICA;1
10;UDI;ANTARTICA;2
10;UP;ANTARTICA;0
11;AMP;ANTOFAGASTA;1969
11;DC;ANTOFAGASTA;3589
11;DEMOREGIONAL;ANTOFAGASTA;0
11;ECO;ANTOFAGASTA;1580
11;EVO;ANTOFAGASTA;4157
11;FRNV;ANTOFAGASTA;0
11;FRVS;ANTOFAGASTA;0
11;IC;ANTOFAGASTA;0
11;IGUALDAD;ANTOFAGASTA;2543
11;INDEP;ANTOFAGASTA;2529
11;MAS;ANTOFAGASTA;710
11;PC;ANTOFAGASTA;3134
11;PH;ANTOFAGASTA;199
11;PL;ANTOFAGASTA;430
11;PODER;ANTOFAGASTA;0
11;PPD;ANTOFAGASTA;3318
11;PRI;ANTOFAGASTA;1608
11;PRO;ANTOFAGASTA;2701
11;PRSD;ANTOFAGASTA;4538
11;PS;ANTOFAGASTA;5029
11;RD;ANTOFAGASTA;5612
11;RN;ANTOFAGASTA;6522
11;UDI;ANTOFAGASTA;8493
11;UP;ANTOFAGASTA;0
12;AMP;ANTUCO;0
12;DC;ANTUCO;564
12;DEMOREGIONAL;ANTUCO;0
12;ECO;ANTUCO;0
12;EVO;ANTUCO;105
12;FRNV;ANTUCO;0
12;FRVS;ANTUCO;0
12;IC;ANTUCO;0
12;IGUALDAD;ANTUCO;0
12;INDEP;ANTUCO;0
12;MAS;ANTUCO;0
12;PC;ANTUCO;20
12;PH;ANTUCO;0
12;PL;ANTUCO;0
12;PODER;ANTUCO;0
12;PPD;ANTUCO;293
12;PRI;ANTUCO;0
12;PRO;ANTUCO;11
12;PRSD;ANTUCO;600
12;PS;ANTUCO;322
12;RD;ANTUCO;0
12;RN;ANTUCO;319
12;UDI;ANTUCO;187
12;UP;ANTUCO;0
13;AMP;ARAUCO;0
13;DC;ARAUCO;998
13;DEMOREGIONAL;ARAUCO;0
13;ECO;ARAUCO;0
13;EVO;ARAUCO;306
13;FRNV;ARAUCO;0
13;FRVS;ARAUCO;0
13;IC;ARAUCO;279
13;IGUALDAD;ARAUCO;0
13;INDEP;ARAUCO;314
13;MAS;ARAUCO;0
13;PC;ARAUCO;917
13;PH;ARAUCO;0
13;PL;ARAUCO;0
13;PODER;ARAUCO;0
13;PPD;ARAUCO;808
13;PRI;ARAUCO;0
13;PRO;ARAUCO;0
13;PRSD;ARAUCO;1322
13;PS;ARAUCO;2374
13;RD;ARAUCO;0
13;RN;ARAUCO;2809
13;UDI;ARAUCO;2381
13;UP;ARAUCO;0
14;AMP;ARICA;621
14;DC;ARICA;2873
14;DEMOREGIONAL;ARICA;0
14;ECO;ARICA;3855
14;EVO;ARICA;935
14;FRNV;ARICA;0
14;FRVS;ARICA;0
14;IC;ARICA;172
14;IGUALDAD;ARICA;657
14;INDEP;ARICA;746
14;MAS;ARICA;2091
14;PC;ARICA;3061
14;PH;ARICA;4373
14;PL;ARICA;3967
14;PODER;ARICA;0
14;PPD;ARICA;4056
14;PRI;ARICA;1073
14;PRO;ARICA;2219
14;PRSD;ARICA;2188
14;PS;ARICA;2429
14;RD;ARICA;0
14;RN;ARICA;5191
14;UDI;ARICA;4375
14;UP;ARICA;0
15;AMP;BUIN;0
15;DC;BUIN;2321
15;DEMOREGIONAL;BUIN;0
15;ECO;BUIN;2905
15;EVO;BUIN;465
15;FRNV;BUIN;0
15;FRVS;BUIN;0
15;IC;BUIN;0
15;IGUALDAD;BUIN;528
15;INDEP;BUIN;637
15;MAS;BUIN;100
15;PC;BUIN;554
