"ID","Sigla","Comuna","Votacion"
18,"DC","CABO DE HORNOS",68
18,"DEMOREGIONAL","CABO DE HORNOS",0
18,"ECO","CABO DE HORNOS",0
18,"EVO","CABO DE HORNOS",0
18,"FRNV","CABO DE HORNOS",0
18,"FRVS","CABO DE HORNOS",0
18,"IC","CABO DE HORNOS",0
18,"IGUALDAD","CABO DE HORNOS",0
18,"INDEP","CABO DE HORNOS",0
18,"MAS","CABO DE HORNOS",0
18,"PC","CABO DE HORNOS",44
18,"PH","CABO DE HORNOS",0
18,"PL","CABO DE HORNOS",0
18,"PODER","CABO DE HORNOS",0
18,"PPD","CABO DE HORNOS",44
18,"PRI","CABO DE HORNOS",0
18,"PRO","CABO DE HORNOS",0
18,"PRSD","CABO DE HORNOS",96
18,"PS","CABO DE HORNOS",328
18,"RD","CABO DE HORNOS",0
18,"RN","CABO DE HORNOS",202
18,"UDI","CABO DE HORNOS",50
18,"UP","CABO DE HORNOS",0
19,"AMP","CABRERO",0
19,"DC","CABRERO",1355
19,"DEMOREGIONAL","CABRERO",0
19,"ECO","CABRERO",0
19,"EVO","CABRERO",522
19,"FRNV","CABRERO",0
19,"FRVS","CABRERO",0
19,"IC","CABRERO",0
19,"IGUALDAD","CABRERO",0
19,"INDEP","CABRERO",0
19,"MAS","CABRERO",520
19,"PC","CABRERO",774
19,"PH","CABRERO",0
19,"PL","CABRERO",0
19,"PODER","CABRERO",0
19,"PPD","CABRERO",1225
19,"PRI","CABRERO",522
19,"PRO","CABRERO",743
19,"PRSD","CABRERO",1470
19,"PS","CABRERO",314
19,"RD","CABRERO",0
19,"RN","CABRERO",1914
19,"UDI","CABRERO",3504
19,"UP","CABRERO",0
20,"AMP","CALAMA",2249
20,"DC","CALAMA",3379
20,"DEMOREGIONAL","CALAMA",0
20,"ECO","CALAMA",1390
20,"EVO","CALAMA",224
20,"FRNV","CALAMA",0
20,"FRVS","CALAMA",0
20,"IC","CALAMA",0
20,"IGUALDAD","CALAMA",1346
20,"INDEP","CALAMA",1439
20,"MAS","CALAMA",265
20,"PC","CALAMA",2373
20,"PH","CALAMA",327
20,"PL","CALAMA",442
20,"PODER","CALAMA",0
20,"PPD","CALAMA",441
20,"PRI","CALAMA",3813
20,"PRO","CALAMA",2227
20,"PRSD","CALAMA",2227
20,"PS","CALAMA",2155
20,"RD","CALAMA",0
20,"RN","CALAMA",4734
20,"UDI","CALAMA",1860
20,"UP","CALAMA",0
21,"AMP","CALBUCO",949
21,"DC","CALBUCO",1166
21,"DEMOREGIONAL","CALBUCO",320
21,"ECO","CALBUCO",228
21,"EVO","CALBUCO",0
21,"FRNV","CALBUCO",0
21,"FRVS","CALBUCO",0
21,"IC","CALBUCO",0
21,"IGUALDAD","CALBUCO",0
21,"INDEP","CALBUCO",0
21,"MAS","CALBUCO",0
21,"PC","CALBUCO",507
21,"PH","CALBUCO",0
21,"PL","CALBUCO",0
21,"PODER","CALBUCO",303
21,"PPD","CALBUCO",412
21,"PRI","CALBUCO",1945
21,"PRO","CALBUCO",706
21,"PRSD","CALBUCO",1377
21,"PS","CALBUCO",1363
21,"RD","CALBUCO",0
21,"RN","CALBUCO",769
21,"UDI","CALBUCO",1012
21,"UP","CALBUCO",0
22,"AMP","CALDERA",98
22,"DC","CALDERA",301
22,"DEMOREGIONAL","CALDERA",84
22,"ECO","CALDERA",58
22,"EVO","CALDERA",0
22,"FRNV","CALDERA",0
22,"FRVS","CALDERA",0
22,"IC","CALDERA",77
22,"IGUALDAD","CALDERA",0
22,"INDEP","CALDERA",214
22,"MAS","CALDERA",0
22,"PC","CALDERA",480
22,"PH","CALDERA",0
22,"PL","CALDERA",0
22,"PODER","CALDERA",0
22,"PPD","CALDERA",494
22,"PRI","CALDERA",19
22,"PRO","CALDERA",243
22,"PRSD","CALDERA",928
22,"PS","CALDERA",1599
